Observation,CurveID,Site Name,canopy/ground,Species,Family,Order,Clade,Growth form,LimitState,Amax,Vcmax25,Jmax25,tpu25,numrubisco,numrubp,numtpu,LMA,Nmass,Cmass,Pmass,wood density,density source
109,no109-2013jan29brick2_3.csv,SLZ,ground,Heliconia marginata,Heliconiaceae,Zingiberales,monocots,perennial herb,RubiscoRuBp,11.87,25.53,49.31,3.71,10,5,0,35.63,24.1,402.3,1.47,,
110,no110-2013jan29brick_1of3.csv,SLZ,ground,Miconia affinis,Melastomataceae,Myrtales,rosids,tree,RubiscoRuBpTpu,11.31,32.36,57.65,3.72,10,1,4,42.6,21,470.6,1.1,0.57,Wright et al.
111,no111-13jan29cecelia2.csv,SLZ,canopy,Xylopia macrantha,Annonaceae,Magnoliales,magnoliids,tree,RubiscoRuBp,7.8,15.22,30.97,2.53,12,3,0,73.33,18.1,469.9,0.6,0.84,Wright et al.
112,no112-13jan29agnes_3of3.csv,SLZ,canopy,Pourouma bicolor,Urticaceae,Rosales,rosids,tree,RubiscoRuBpTpu,16.82,62.48,85.2,5.11,5,3,7,64.82,26,435.4,1.21,0.357,Wright et al.
113,no113-13jan29agnes1.csv,SLZ,canopy,Xylopia macrantha,Annonaceae,Magnoliales,magnoliids,tree,RubiscoRuBpTpu,9.98,28.9,49.56,3.23,11,1,4,71.2,24.3,474.8,0.85,0.84,Wright et al.
114,no114-13jan29dorothy.csv,SLZ,canopy,Castilla elastica,Moraceae,Rosales,rosids,tree,,,,,,,,,79.96,17.6,422,0.84,0.337,Wright et al.
115,no115-13jan29cecelia1.csv,SLZ,canopy,Pourouma bicolor,Urticaceae,Rosales,rosids,tree,RubiscoRuBpTpu,21.15,53.91,90.3,6.22,9,4,3,69.07,26.3,437.6,1.41,0.357,Wright et al.
116,no116-13jan29cecelia3.csv,SLZ,canopy,Guatteria dumetorum,Annonaceae,Magnoliales,magnoliids,tree,RubiscoTpu,15.78,24.47,,4.24,15,0,1,89.18,27.9,458.2,1.77,0.446,Wright et al.
117,no117-13jan29agnes_2of3.csv,SLZ,canopy,Castilla elastica,Moraceae,Rosales,rosids,tree,RubiscoRuBpTpu,11.03,26.87,51.32,3.53,11,2,2,92.26,18.9,432.4,0.87,0.337,Wright et al.
118,no118-13jan29agnes2.csv,SLZ,canopy,Guatteria dumetorum,Annonaceae,Magnoliales,magnoliids,tree,RubiscoRuBpTpu,15.44,38.99,70.17,4.79,9,3,2,85.63,23.7,461.3,1.12,0.446,Wright et al.
119,no119-13jan29cecelia.csv,SLZ,canopy,Castilla elastica,Moraceae,Rosales,rosids,tree,,,,,,,,,80.67,18,436.3,0.89,0.337,Wright et al.
120,no120-13jan29agnes_1of3.csv,SLZ,canopy,Castilla elastica,Moraceae,Rosales,rosids,tree,RubiscoRuBpTpu,12.62,30.67,55.76,3.84,11,3,2,74.04,20.1,432.1,1.03,0.337,Wright et al.
121,no121-13jan29dorothy2.csv,SLZ,canopy,Xylopia macrantha,Annonaceae,Magnoliales,magnoliids,tree,RubiscoRuBpTpu,12.15,32.25,55.05,3.69,11,2,3,68.13,24.8,481.5,0.85,0.84,Wright et al.
122,no122-13_jan29dorothy3.csv,SLZ,canopy,unknown,unknown,unknown,unknown,epiphye,,,,,,,,,80.43,23.2,461.4,1.03,,
123,no123-13jan29dorothy1.csv,SLZ,canopy,Pourouma bicolor,Urticaceae,Rosales,rosids,tree,RubiscoRuBpTpu,18.14,60.43,87.51,5.42,6,4,6,72.15,25.6,437.6,1.13,0.357,Wright et al.
124,no124-2013jan29brick3_3.csv,SLZ,ground,Calathea crotalifera,Marantaceae,Zingiberales,monocots,perennial herb,,,,,,,,,23.89,31.5,397.7,2.04,0.588,Chave et al. 
125,"7-Cassiporea ellipfiea,brick",SLZ,ground,Cassipourea elliptica,Rhizophoraceae,Rhizophorales,rosids,tree,,,,,,,,,41.87,26.48,421.1,1.24,0.631,
126,no126-2013jan29brick3_1.csv,SLZ,ground,Dendropanax arboreus,Araliaceae,Apilaes,asterids,tree,RubiscoRuBpTpu,11.14,29.05,50.51,3.53,10,5,1,41.53,17.4,428.7,1.05,0.411,Wright et al.
127,no127-2013jan29brick3_2.csv,SLZ,canopy,Lacistema aggregatum,Lacistemataceae,Malpighiales,rosids,tree,RubiscoTpu,8.23,19.85,,2.58,11,0,5,53.23,20.6,439.3,0.68,0.558,Wright et al.
