Species,GrowthForm,kl,ksat,Al.As,ax,p50,p12,p88,Pmd,Ppd,wd,sla,MAP,MAT,Reference,Biome,Long,Lat,Method,Maximal Vessel Length (m),Note,Id
protium,Tree,0.0032,7.4,0.23125,NA,NA,NA,NA,-0.88,NA,0.44,9.92,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
qualea grandiflora,Tree,0.000523,0.99,0.189292543,NA,NA,NA,NA,-1.8,NA,0.606,5.747,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
qualea grandiflora,Tree,0.000901,2.22,0.246392897,NA,NA,NA,NA,-1.68,NA,0.52,7.2,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
qualea grandiflora,Tree,0.000754,2.05,0.271883289,NA,NA,NA,NA,-1.585,NA,0.57,6.15,1500,21,Scholz et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,NA,NA,,
curatella americana,Tree,0.000925,NA,NA,55.07246377,-1.48,-0.46,-2.17,-1.35,-0.45,0.39,NA,1276,25.6,Sobrado 1996,Tropical seasonal forest,-66.91666667,9.916666667,Pressure sleeve,NA,,
bourreria cumanensis,Tree,9.95E-05,0.41,0.412060302,NA,-3.82,-1.15,NA,NA,NA,NA,NA,900,24.6,Sobrado 1997,Tropical seasonal forest,-67.05,10.25,Pressure sleeve,NA,,
capparis aristiguetae,Tree,1.58E-05,0.105,0.664556962,10.55555556,-2.45,-0.541,-6.05,NA,NA,NA,6.918309709,900,24.6,Sobrado 1997,Tropical seasonal forest,-67.05,10.25,Pressure sleeve,NA,,
coursetia arborea,Tree,9.19E-05,1.26,1.371055495,10.46831956,-2.42,-0.48,-6.05,NA,NA,NA,26.91534804,900,24.6,Sobrado 1997,Tropical seasonal forest,-67.05,10.25,Pressure sleeve,NA,,
lonchocarpus dipteroneurus,Tree,9.63E-05,0.98,1.017653167,11.37724551,-1.77,-0.375,-5.11,NA,NA,NA,23.98832919,900,24.6,Sobrado 1997,Tropical seasonal forest,-67.05,10.25,Pressure sleeve,NA,,
morisonia americana,Tree,3.47E-05,0.14,0.403458213,10.0795756,-2.39,-1.09,-6.16,NA,NA,0.88,6.760829754,900,24.6,Sobrado 1997,Tropical seasonal forest,-67.05,10.25,Pressure sleeve,NA,,
pithecellobium dulce,Tree,7.06E-05,0.54,0.764872521,8.71559633,-1.65,-0.53,-6.01,NA,NA,0.6835,15.13561248,900,24.6,Sobrado 1997,Tropical seasonal forest,-67.05,10.25,Pressure sleeve,NA,,
rhizophora mangle,Tree,NA,NA,NA,NA,-6.3,NA,NA,NA,NA,0.897714286,NA,1527.5,23.58,Sperry et al. 1988,Tropical seasonal forest,-80.3227,25.549,Bench dehydration,NA,,
cassipourea guianensis,Tree,NA,1.3,NA,NA,-4.8,NA,NA,NA,NA,0.82,NA,2600,26.27266667,Sperry et al. 1988,Tropical rainforest,-79.846036,9.166666667,Bench dehydration,NA,,
austrobaileya scandens,Liana,NA,NA,NA,25.78018996,-0.499,-0.128,-1.973,NA,NA,NA,NA,1520,20.5,Sperry et al. 2007,Tropical rainforest,145.275,-16.55611111,Centrifugation,NA,,
canella winterana,Tree,NA,NA,NA,NA,-0.23,NA,NA,NA,NA,0.95,NA,1295,21.92,Sperry et al. 2007,Tropical seasonal forest,-80.2724,25.6773,Centrifugation,NA,,
galbulimima baccata,Tree,NA,NA,NA,16.53611836,-1.3,-0.302,-3.598,NA,NA,0.5005,NA,1748.7,23.935,Sperry et al. 2007,Tropical rainforest,145.6453611,-16.81972222,Centrifugation,NA,,
hedyosmum goudotianum,Tree,NA,NA,NA,55.47445255,-1.741,-0.418,-2.426,NA,NA,NA,NA,2899,16.78666667,Sperry et al. 2007,Tropical rainforest,-84.79363889,10.31897222,Centrifugation,NA,,
hedyosmum mexicanum,Tree,NA,NA,NA,NA,-0.789,NA,NA,NA,NA,NA,NA,3131.4,13.34166667,Sperry et al. 2007,Tropical rainforest,-84.12533333,10.02511111,Centrifugation,NA,,
idiospermum australiense,Tree,NA,NA,NA,19.48717949,-0.615,-0.128,-2.565,NA,NA,0.65,NA,2241,24.65333333,Sperry et al. 2007,Tropical rainforest,145.750725,-16.89933611,Centrifugation,NA,,
illicium floridanum,Tree,NA,NA,NA,NA,-3.28,NA,NA,NA,NA,NA,NA,1570.4,20.51,Sperry et al. 2007,Tropical seasonal forest,-90.0751,29.9546,Centrifugation,NA,,
schisandra glabra,Liana,NA,NA,NA,41.43947655,-1.056,-0.186,-1.973,NA,NA,NA,NA,1507,15.17133333,Sperry et al. 2007,Tropical rainforest,-83.35402778,34.67344444,Centrifugation,NA,,
trimenia moorei,Liana,NA,NA,NA,52.77777778,-0.383,-0.104,-1.103,NA,NA,NA,NA,1134,13.19,Sperry et al. 2007,Tropical rainforest,152.1239722,-29.24970833,Centrifugation,NA,,
trimenia neocaledonica,Tree,NA,NA,NA,15.66364386,-1.253,-0.174,-3.679,NA,NA,NA,NA,1579,18.44366667,Sperry et al. 2007,Tropical rainforest,165.2923889,-21.18247222,Centrifugation,NA,,
cassipourea guianensis,Tree,NA,NA,NA,19.79166667,-4.68,-1.4,-6.6,NA,NA,0.82,NA,2600,26.27266667,Tyree and Sperry 1989,Tropical rainforest,-79.846036,9.166666667,Bench dehydration,NA,,
schefflera morototoni,Tree,NA,NA,NA,82.60869565,-1.38,-0.98,-1.84,-0.61,NA,0.4559375,NA,2600,26.27266667,Tyree et al. 1991,Tropical rainforest,-79.846036,9.166666667,Bench dehydration,NA,,
agathis borneensis,Tree,NA,NA,NA,NA,-1.91,NA,NA,NA,NA,0.383333333,NA,3000,27.21,Tyree et al. 1998,Tropical rainforest,114.4213,4.5594,Pressure sleeve,NA,,
aglaia glabrata,Tree,NA,NA,NA,NA,-0.71,NA,NA,NA,NA,NA,NA,3000,27.21,Tyree et al. 1998,Tropical rainforest,114.4213,4.5594,Pressure sleeve,NA,,
amyxa pluricornis,Tree,NA,NA,NA,43.67816092,-0.63,NA,-1.5,NA,NA,0.63,NA,3000,27.05266667,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
canarium caudatum,Tree,NA,NA,NA,NA,-1.47,NA,NA,NA,NA,0.33,NA,3000,27.21,Tyree et al. 1998,Tropical rainforest,114.4213,4.5594,Pressure sleeve,NA,,
cotylelobium burckii,Tree,NA,NA,NA,NA,-0.45,NA,NA,NA,NA,0.815,NA,3000,27.21,Tyree et al. 1998,Tropical rainforest,114.4213,4.5594,Pressure sleeve,NA,,
diospyros brachiata,Tree,NA,NA,NA,74.50980392,-0.42,NA,-0.93,NA,NA,0.54,NA,3000,27.05266667,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
diospyros hermaphroditica,Tree,NA,NA,NA,NA,-0.6,NA,NA,NA,NA,0.595,NA,3000,27.21,Tyree et al. 1998,Tropical rainforest,114.4213,4.5594,Pressure sleeve,NA,,
diospyros mindanaensis,Tree,NA,NA,NA,105.5555556,-0.79,-0.43,-1.15,NA,NA,0.65,NA,3000,27.05266667,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
dipterocarpus globosus,Tree,NA,NA,NA,223.5294118,-0.18,-0.01,-0.35,NA,NA,0.7,NA,3000,27.05266667,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
dryobalanops aromatica,Tree,NA,NA,NA,NA,-0.26,NA,NA,NA,NA,0.68,NA,3000,27.05,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
dryobalanops sumatrensis,Tree,NA,NA,NA,200,-0.26,-0.07,-0.45,NA,NA,0.65,NA,3000,27.05266667,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
eugenia ampullaria,Tree,NA,NA,NA,NA,-0.6,NA,NA,NA,NA,NA,NA,3000,27.21,Tyree et al. 1998,Tropical rainforest,114.4213,4.5594,Pressure sleeve,NA,,
eugenia bankensis,Tree,NA,NA,NA,NA,-1.26,NA,NA,NA,NA,NA,NA,3000,27.21,Tyree et al. 1998,Tropical rainforest,114.4213,4.5594,Pressure sleeve,NA,,
eugenia muelleri,Tree,NA,NA,NA,NA,-0.54,NA,NA,NA,NA,0.87,NA,3000,27.21,Tyree et al. 1998,Tropical rainforest,114.4213,4.5594,Pressure sleeve,NA,,
heritiera sumatrana,Tree,NA,NA,NA,43.67816092,-1.69,-0.82,-2.56,NA,NA,0.53,NA,3000,27.05266667,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
homalium moultonii,Tree,NA,NA,NA,NA,-6.3,NA,NA,NA,NA,NA,NA,3000,27.21,Tyree et al. 1998,Tropical rainforest,114.4213,4.5594,Pressure sleeve,NA,,
isonandra lanceolata,Tree,NA,NA,NA,NA,-0.48,NA,NA,NA,NA,0.93,NA,3000,27.21,Tyree et al. 1998,Tropical rainforest,114.4213,4.5594,Pressure sleeve,NA,,
lophopetalum subobovatum,Tree,NA,NA,NA,70.37037037,-0.59,-0.05,-1.13,NA,NA,0.54,NA,3000,27.05266667,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
mallotus wrayi,Tree,NA,NA,NA,122.5806452,-0.53,-0.22,-0.84,NA,NA,NA,NA,3000,27.05266667,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
nephelium lappaceum,Tree,NA,NA,NA,NA,-0.76,NA,NA,NA,NA,0.7102,NA,3000,27.21,Tyree et al. 1998,Tropical rainforest,114.4213,4.5594,Pressure sleeve,NA,,
payena endertii,Tree,NA,NA,NA,74.50980392,-0.63,-0.12,-1.14,NA,NA,0.633333333,NA,3000,27.05266667,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
pentace adenophora,Tree,NA,NA,NA,165.2173913,-0.19,NA,-0.42,NA,NA,NA,NA,3000,27.05266667,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
santiria mollis,Tree,NA,NA,NA,92.68292683,-0.2,NA,-0.61,NA,NA,NA,NA,3000,27.05266667,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
shorea faguetiana,Tree,NA,NA,NA,88.37209302,-0.37,NA,-0.8,NA,NA,0.48,NA,3000,27.05266667,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
shorea mecistopteryx,Tree,NA,NA,NA,140.7407407,-0.63,-0.36,-0.9,NA,NA,0.426666667,NA,3000,27.05266667,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
shorea ovalis,Tree,NA,NA,NA,158.3333333,-0.39,-0.15,-0.63,NA,NA,0.43,NA,3000,27.05266667,Tyree et al. 1998,Tropical rainforest,114.52,4.66,Pressure sleeve,NA,,
sindora leiocarpa,Tree,NA,NA,NA,NA,-0.86,NA,NA,NA,NA,0.51,NA,3000,27.21,Tyree et al. 1998,Tropical rainforest,114.4213,4.5594,Pressure sleeve,NA,,
stemonurus umbellatus,Tree,NA,NA,NA,NA,-0.18,NA,NA,NA,NA,0.61,NA,3000,27.21,Tyree et al. 1998,Tropical rainforest,114.4213,4.5594,Pressure sleeve,NA,,
xerospermum laevigatum,Tree,NA,NA,NA,NA,-0.18,NA,NA,NA,NA,0.77,NA,3000,27.21,Tyree et al. 1998,Tropical rainforest,114.4213,4.5594,Pressure sleeve,NA,,
eucalyptus grandis,Tree,NA,NA,NA,NA,-1.31,NA,NA,-1.23,NA,0.662,NA,1057,21.8,Vander Willigen and Pammenter 1998,Tropical seasonal forest,32.1833,-28.4333,Bench dehydration,NA,,
eucalyptus x,Tree,NA,NA,NA,NA,-1.77,NA,-2.7,-1.14,NA,NA,NA,958,21.9,Vander Willigen and Pammenter 1998,Tropical seasonal forest,32.1833,-28.4333,Bench dehydration,NA,,
barringtonia racemosa,Tree,NA,NA,NA,NA,-1.36,NA,NA,NA,NA,0.454,NA,970,19.08,Vander Willigen et al. 2000,Tropical rainforest,31,-29.8833,Bench dehydration,0.45,,
cinnamomum camphora,Tree,NA,NA,NA,NA,-1.24,NA,NA,NA,NA,0.4874,NA,970,19.08,Vander Willigen et al. 2000,Tropical rainforest,31,-29.8833,Bench dehydration,0.3,,
podocarpus latifolius,Tree,NA,NA,NA,NA,-1.74,NA,NA,NA,NA,0.469,3.84591782,970,19.08,Vander Willigen et al. 2000,Tropical rainforest,31,-29.8833,Bench dehydration,NA,,
trichilia dregeana,Tree,NA,NA,NA,NA,-2.66,NA,NA,NA,NA,0.482,NA,970,19.08,Vander Willigen et al. 2000,Tropical rainforest,31,-29.8833,Bench dehydration,0.3,,
sclerolobium paniculatum,Tree,0.00088,4.2,0.477272727,NA,-3.4,-3.09,-3.65,-1.85,-0.4,0.65,5.555,1500,21,Zhang et al. 2009,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,0.57,,
sclerolobium paniculatum,Tree,0.00083,3.6,0.43373494,NA,-3.2,-2.79,-3.55,-1.8,-0.4,0.67,5,1500,21,Zhang et al. 2009,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,0.57,,
sclerolobium paniculatum,Tree,0.0011,6,0.545454545,NA,-3.4,-2.61,-4.51,-1.75,-0.4,0.59,5.405,1500,21,Zhang et al. 2009,Tropical seasonal forest,-47.88333333,-15.93333333,Bench dehydration,0.57,,
sclerolobium paniculatum,Tree,NA,NA,NA,NA,-3.4,NA,-4.51,-1.75,NA,NA,NA,1500,21,Zhang et al. 2009,Tropical seasonal forest,-47.8833,-15.9333,Bench dehydration,0.57,,
baccaurea ramiflora,Tree,0.00037,0.74,0.2,NA,-2.1,NA,NA,-0.54,-0.16,0.56,NA,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,Wet season,
baccaurea ramiflora,Tree,0.00037,0.74,0.2,NA,-2.1,NA,NA,-1.2,-0.4,0.56,NA,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,Dry season,
bauhinia variegate,Tree,0.000633,2.07,0.327014218,NA,-1.6,NA,NA,-0.76,-0.26,0.51,NA,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,Wet season,
bauhinia variegate,Tree,0.000633,2.07,0.327014218,NA,-1.6,NA,NA,-1.71,-0.79,0.51,NA,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,Dry season,
quisqualis indica,Liana,0.000444,3.07,0.691441441,27.30180009,-1.329864697,-0.264848753,-3.866347204,-0.97,-0.26,0.5,24.54708916,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,Wet season,26
quisqualis indica,Liana,0.000444,3.07,0.691441441,27.30180009,-1.329864697,-0.264848753,-3.866347204,-1.48,-0.34,0.5,24.54708916,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,Dry season,26
syzygium szemaoense,Tree,0.000533,1.64,0.307692308,NA,-2,NA,NA,-0.73,-0.27,0.52,NA,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,Wet season,
syzygium szemaoense,Tree,0.000533,1.64,0.307692308,NA,-2,NA,NA,-1.35,-0.34,0.52,NA,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,Dry season,
millettia pachycarpa,Liana,0.000377,3.13,0.830238727,36.45600754,-1.324945225,-0.041379764,-2.691270215,-0.63,-0.2,0.49,9.85,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,Wet season,25
millettia pachycarpa,Liana,0.000377,3.13,0.830238727,36.45600754,-1.324945225,-0.041379764,-2.691270215,-1.29,-0.23,0.49,9.85,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,Dry season,25
combretum latifolium,Liana,0.000483,3.14,0.65010352,29.22651324,-1.118725076,-0.186427767,-3.659391244,-0.51,-0.26,0.46,7.43,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,Wet season,24
combretum latifolium,Liana,0.000483,3.14,0.65010352,29.22651324,-1.118725076,-0.186427767,-3.659391244,-1.28,-0.41,0.46,7.43,1379,21.4,Zhu and Cao 2009,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,Dry season,24
alphonsea monogyna,Tree,0.000391,3.47,0.887468031,NA,-1.9,NA,NA,NA,NA,0.6,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.36,,
bauhinia purpurea,Tree,0.00098,11.79,1.203061224,NA,-1.3,NA,NA,NA,NA,0.42,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.95,,
bauhinia tenuiflora,Liana,0.00123,92.13,7.490243902,NA,-2.1,NA,NA,NA,NA,0.35,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,2.91,,
bauhinia touranensis,Liana,0.001072,104.5,9.748134328,NA,-2.2,NA,NA,NA,NA,0.33,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,3.08,,
bauhinia variegate,Tree,0.001059,10.58,0.999055713,NA,-1.2,NA,NA,NA,NA,0.44,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.83,,
bischofia javanica,Tree,0.000533,7.89,1.480300188,NA,-1.2,NA,NA,NA,NA,0.44,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.85,,
byttneria integrifolia,Liana,0.000778,10.57,1.358611825,NA,-0.9,NA,NA,NA,NA,0.37,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,1.58,,
castanopsis鑱絠ndica鑱,Tree,0.000371,4.45,1.199460916,NA,-1.3,NA,NA,NA,NA,0.47,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.58,,
celtis philippensis,Tree,0.000534,3.45,0.646067416,NA,-2.1,NA,NA,NA,NA,0.62,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.83,,
cipadessa baccifera,Tree,0.000468,3.89,0.831196581,NA,-2.3,NA,NA,NA,NA,0.61,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.61,,
cleistanthus sumatranus,Tree,0.000169,1.57,0.928994083,NA,-3.4,NA,NA,NA,NA,0.71,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.36,,
combretum latifolium,Liana,0.000447,4.52,1.011185682,NA,-1.5,NA,NA,NA,NA,0.53,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,1.09,,
croton crassifolius,Tree,0.000438,4.07,0.929223744,NA,-1.6,NA,NA,NA,NA,0.63,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.41,,
lagerstroemia tomentosa,Tree,0.000985,7.74,0.785786802,NA,-1.4,NA,NA,NA,NA,0.61,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.91,,
lasiococca comberi,Tree,0.000223,2.12,0.950672646,NA,-2,NA,NA,NA,NA,0.69,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.29,,
millettia cubitti,Tree,0.000777,7.73,0.994851995,NA,-1.1,NA,NA,NA,NA,0.53,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.49,,
millettia leptobotrya,Tree,0.000236,4.61,1.953389831,NA,-1.6,NA,NA,NA,NA,0.63,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.69,,
millettia pachycarpa,Liana,0.000651,11.51,1.768049155,NA,-1.1,NA,NA,NA,NA,0.51,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,1.5,,
pistacia weinmannifolia,Tree,0.000387,2.01,0.519379845,NA,-4.1,NA,NA,NA,NA,0.72,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.28,,
syzygium cumini,Tree,0.000603,6.15,1.019900498,NA,-1.2,NA,NA,NA,NA,0.61,7.413102413,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.84,,
syzygium latilimbum,Tree,0.000416,4.57,1.098557692,NA,-2,NA,NA,NA,NA,0.64,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.67,,
syzygium szemaoense,Tree,0.000697,8.06,1.156384505,NA,-1.3,NA,NA,NA,NA,0.53,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.86,,
turpinia pomifera,Tree,0.000501,2.73,0.54491018,NA,-2.2,NA,NA,NA,NA,0.58,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.89,,
uncaria macrophylla,Liana,0.000748,12.38,1.655080214,NA,-1,NA,NA,NA,NA,0.41,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,1.37,,
ventilago calyculata,Liana,0.00045,5.14,1.142222222,NA,-1.3,NA,NA,NA,NA,0.55,NA,1600,22.7,Zhu et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.95,,
cordia alliodora,Tree,NA,NA,NA,58.46153846,-3.2,-2.4,-3.85,-3.7,NA,0.520307692,NA,2600,26.27266667,Zotz et al. 1994,Tropical rainforest,-79.846036,9.166666667,Pressure sleeve,NA,,
ficus citrifolia,Tree,NA,NA,NA,63.33333333,-1.6,-1.1,-2.2,NA,NA,0.4,NA,2600,26.27266667,Zotz et al. 1994,Tropical rainforest,-79.846036,9.166666667,Pressure sleeve,NA,,
ouratea lucens,Tree,NA,NA,NA,14.07407407,-1.8,-0.5,-4.5,NA,NA,NA,NA,2600,26.27266667,Zotz et al. 1994,Tropical rainforest,-79.846036,9.166666667,Pressure sleeve,NA,,
annona glabra,Tree,0.0018,9.1,0.505555556,18.0952381,-3.3,-0.01,-5.4,-1.2,-1,0.51,10.27,2600,26.27266667,Zotz et al. 1997,Tropical rainforest,-79.846036,9.166666667,Pressure sleeve,0.52,,
alseis blackiana,Tree,0.000670722,4.0426,0.602723632,14.17986293,-3.074643425,0.806201132,7.576573901,NA,NA,0.57106,15.2912,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.676348,,
callichlamys latifolia,Liana,0.001364626,5.0818984,0.372402285,40.6943927,-0.747310291,-0.143275528,-4.175212572,NA,NA,0.49454,23.358484,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.369,,16
clitoria javitensis,Liana,0.000794415,7.586531,0.954983833,31.27295165,-1.353924864,-0.338991104,-4.057596769,NA,NA,0.38452,29.374302,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.7766,,17
combretum decandrum,Liana,0.002318084,23.924458,1.032078904,77.60252853,-0.631700679,-0.186257971,-2.186745551,NA,NA,0.4268,18.5628,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,1.424899,,
croton billbergianus,Tree,0.001325324,8.0085376,0.604270262,71.35798787,-0.434398757,-0.08519533,-2.09424,NA,NA,0.44668,26.769148,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.6222,,
doliocarpus dentatus,Liana,0.001508987,12.1000474,0.801865795,33.07174174,-1.906010611,-0.629431155,-4.244302271,NA,NA,0.25572,20.131234,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.89864,,
erythrina costaricensis,Tree,0.001207007,6.6344588,0.54966209,40.97292312,-1.359056703,-0.421191085,-4.245124607,NA,NA,0.30128,36.78721,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.8854,,
eugenia nesiotica,Tree,0.000917559,5.8039816,0.632546012,30.05014163,-1.435378143,-0.377948376,-4.320348018,NA,NA,0.47282,21.091442,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,1.336475,,
faramea occidentalis,Tree,0.000191062,1.27166,0.665573132,11.26112425,-3.996514316,-1.057204886,-9.68699276,NA,NA,0.5132833,18.856968,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.714,,
gustavia superba,Tree,0.000303322,1.093745,0.360588747,50.55533823,-1.598452836,-0.398071063,-4.234253838,NA,NA,0.39436,16.345402,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.96455,,
inga vera,Tree,0.000285028,1.8498364,0.649002553,17.63828247,-4.495364579,-1.828732051,-7.390380026,NA,NA,0.45516,19.40248,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.7126,,
luehea seemannii,Tree,0.001437552,8.04222,0.559438546,39.81884936,-2.027483016,-0.843607486,-3.729938992,NA,NA,0.4074,19.5426,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.8622,,
machaerium seemannii,Liana,0.00061746,1.7915564,0.290149386,44.37300969,-1.558620518,-0.516468836,-3.728965014,NA,NA,0.5623,22.347473,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.3746,,18
maripa panamensis,Liana,0.003659,33.728,0.921781908,110,-0.285,NA,NA,NA,NA,0.33134,18.758,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.3746,,19
miconia argentea,Tree,0.000471854,2.1880484,0.463713013,59.04399617,-0.779175224,-0.22215745,-2.16441322,NA,NA,0.58236,15.231692,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.6976,,
mikania leiostachya,Liana,0.00037304,1.9492932,0.522542116,41.42418335,-1.122995389,-0.319479707,-2.631393603,NA,NA,0.57368,27.49207,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,1.127,,
paullinia glomerulosa,Liana,0.000221065,0.7706906,0.348625926,140.7659908,-0.370165361,-0.168163512,-0.832444039,NA,NA,0.83324,31.10073,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.3724,,20
paullinia rugosa,Liana,0.000496245,1.0559849,0.212794899,107.8342515,-0.504885474,-0.193887368,-1.375155633,NA,NA,0.5553571,21.939793,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.297,,21
senna dariensis,Tree,0.000533683,1.373471,0.25735689,27.49481716,-1.572874874,-0.402006964,-4.197847495,NA,NA,0.4301167,44.52742,2400,26.4,Van der Sande et al. 2013,Tropical rainforest,-79.11666667,9.16666667,Pressure sleeve,0.5448333,,
